Punto;CoordX;CoordY;Centroide
P269;8.73;6.64;1
P270;4.12;6.12;0
P271;5.97;6.46;1
P272;5.39;1.48;1
P273;5.79;0.33;1
P274;7.01;5.18;1
P275;8.33;5.15;1
P276;1.13;4.90;0
P277;5.10;0.48;1
P278;8.14;3.85;1
P279;6.38;4.52;1
P280;1.44;4.13;0
P281;2.47;4.07;0
P282;0.17;7.18;0
P283;5.74;8.13;1
P284;5.83;4.47;1
P285;4.77;9.95;1
P286;0.59;0.74;0
P287;6.41;5.97;1
P288;2.23;2.20;0
P289;6.30;9.24;1
P290;7.38;4.63;1
P291;4.39;8.51;0
P292;9.53;9.49;1
P293;8.99;7.67;1
P294;3.34;5.37;0
P295;2.19;4.78;0
P296;9.50;4.66;1
P297;8.84;9.67;1
P298;1.84;4.58;0
P299;7.80;7.66;1
P300;9.05;2.58;1
P301;7.62;9.64;1
P302;3.32;4.02;0
P303;5.61;5.54;1
P304;6.22;1.91;1
P305;4.78;3.60;0
P306;6.54;9.17;1
P307;2.11;6.07;0
P308;8.65;1.10;1
P309;3.74;1.99;0
P310;6.47;5.93;1
P311;6.77;5.96;1
P312;0.59;5.61;0
P313;5.64;2.43;1
P314;0.19;3.44;0
P315;0.09;9.24;0
P316;6.01;7.71;1
P317;8.87;9.33;1
P318;1.73;4.48;0
P319;4.88;7.95;1
P320;6.39;9.66;1
P321;1.55;2.93;0
P322;8.82;3.66;1
P323;8.99;7.48;1
P324;4.76;2.73;0
P325;9.47;1.22;1
P326;8.66;6.23;1
P327;7.19;9.25;1
P328;1.84;2.82;0
P329;1.67;2.03;0
P330;6.26;1.76;1
P331;1.27;2.28;0
P332;9.47;0.14;1
P333;1.61;1.20;0
P334;4.62;6.49;0
P335;9.15;1.01;1
P336;6.14;0.71;1
P337;3.94;4.96;0
P338;4.37;2.93;0
P339;2.44;9.12;0
P340;5.66;1.91;1
P341;0.35;4.32;0
P342;8.14;7.53;1
P343;3.56;9.98;0
P344;0.36;5.24;0
P345;2.01;6.62;0
P346;7.00;3.28;1
P347;8.89;6.47;1
P348;3.41;0.50;0
P349;7.67;8.03;1
P350;6.99;6.82;1
P351;9.04;3.13;1
P352;7.52;2.98;1
P353;8.09;1.89;1
P354;5.91;0.53;1
P355;1.01;1.57;0
P356;2.44;1.36;0
P357;5.89;0.58;1
P358;8.90;9.46;1
P359;0.56;9.25;0
P360;4.69;2.57;0
P361;5.87;1.69;1
P362;5.85;4.76;1
P363;8.16;9.26;1
P364;5.27;5.82;1
P365;7.29;2.25;1
P366;2.64;6.34;0
P367;5.38;0.17;1
P368;9.32;3.48;1
P369;2.06;5.23;0
P370;4.01;3.07;0
P371;6.80;6.45;1
P372;4.43;2.69;0
P373;7.03;3.33;1
P374;2.15;7.59;0
P375;2.58;6.84;0
P376;0.16;8.45;0
P377;8.52;6.01;1
P378;3.21;6.68;0
P379;5.27;8.48;1
P380;2.50;2.56;0
P381;0.73;5.14;0
P382;8.90;6.11;1
P383;5.31;8.21;1
P384;9.59;7.37;1
P385;3.44;3.60;0
P386;0.44;0.24;0
P387;0.05;4.87;0
P388;2.93;7.08;0
P389;8.20;5.07;1
P390;4.67;0.78;0
P391;1.91;4.84;0
P392;9.23;0.43;1
P393;0.84;2.45;0
P394;7.11;6.11;1
P395;0.93;9.62;0
P396;8.67;1.66;1
P397;4.76;7.57;0
P398;7.78;0.07;1
P399;5.79;7.36;1
P400;7.44;9.23;1
P401;0.96;7.88;0
P402;9.46;1.01;1
P403;2.75;2.39;0
P404;8.10;0.95;1
P405;7.47;2.77;1
P406;1.73;9.38;0
P407;7.61;0.97;1
P408;9.81;8.45;1
P409;3.42;6.92;0
P410;4.57;4.34;0
P411;6.54;3.24;1
P412;6.00;1.30;1
P413;0.81;3.78;0
P414;1.37;6.60;0
P415;1.14;8.81;0
P416;5.82;2.11;1
P417;6.68;5.29;1
P418;3.12;9.43;0
P419;7.68;1.22;1
P420;0.38;5.15;0
P421;3.99;2.12;0
P422;4.53;1.60;0
P423;3.08;4.34;0
P424;0.05;6.50;0
P425;1.26;4.62;0
P426;0.84;7.80;0
P427;7.86;6.85;1
P428;9.10;8.67;1
P429;0.63;0.47;0
P430;5.27;1.77;1
P431;9.28;1.10;1
P432;3.88;5.96;0
P433;6.38;7.00;1
P434;5.39;4.07;1
P435;8.22;5.78;1
P436;9.22;2.22;1
P437;7.89;3.74;1
P438;3.82;0.97;0
P439;8.08;3.87;1
P440;7.47;9.34;1
P441;8.49;8.31;1
P442;7.14;6.35;1
P443;5.16;6.25;1
P444;5.02;5.79;1
P445;6.72;0.29;1
P446;7.56;6.00;1
P447;1.39;1.44;0
P448;1.96;7.77;0
P449;8.44;7.35;1
P450;1.84;6.67;0
P451;3.13;1.06;0
P452;8.88;1.02;1
P453;4.80;2.70;0
P454;2.00;2.88;0
P455;6.58;9.47;1
P456;2.22;5.07;0
P457;7.78;9.36;1
P458;1.42;2.95;0
P459;5.61;6.45;1
P460;8.73;2.33;1
P461;6.74;6.29;1
P462;8.33;8.13;1
P463;7.73;0.28;1
P464;5.90;6.18;1
P465;7.64;7.74;1
P466;2.84;0.77;0
P467;8.80;1.73;1
P468;1.79;3.60;0
P469;4.43;3.79;0
P470;6.48;1.01;1
P471;3.26;8.69;0
P472;6.08;1.04;1
P473;8.06;7.50;1
P474;3.99;3.67;0
P475;3.94;2.72;0
P476;6.00;0.68;1
P477;9.02;4.32;1
P478;8.81;6.75;1
P479;4.61;4.72;0
P480;2.92;2.24;0
P481;2.46;5.77;0
P482;3.01;1.26;0
P483;7.49;4.80;1
P484;4.86;1.92;0
P485;8.59;1.33;1
P486;2.93;1.85;0
P487;0.03;9.01;0
P488;2.89;8.09;0
P489;6.50;6.88;1
P490;1.75;0.45;0
P491;9.60;7.75;1
P492;1.13;8.61;0
P493;2.07;9.94;0
P494;5.36;6.68;1
P495;4.66;8.29;0
P496;8.92;7.12;1
P497;4.05;1.93;0
P498;8.38;1.55;1
P499;6.74;3.24;1
P500;3.47;5.33;0
P501;4.57;6.40;0
P502;7.17;4.60;1
P503;5.41;0.06;1
P504;2.69;1.92;0
P505;6.93;4.44;1
P506;2.36;6.53;0
P507;2.19;3.49;0
P508;5.14;4.26;1
P509;3.44;0.50;0
P510;0.94;8.09;0
P511;8.79;9.87;1
P512;5.21;2.84;1
P513;1.80;3.59;0
P514;4.39;8.54;0
P515;6.83;7.86;1
P516;3.86;1.40;0
P517;4.27;1.03;0
P518;6.00;9.68;1
P519;1.09;8.69;0
P520;1.59;8.03;0
P521;3.13;3.96;0
P522;4.56;5.32;0
P523;7.45;9.70;1
P524;9.59;0.89;1
P525;0.21;0.53;0
P526;8.98;9.00;1
P527;0.40;4.19;0
P528;1.84;2.20;0
P529;7.78;6.23;1
P530;0.74;4.61;0
P531;4.09;4.60;0
P532;6.02;8.36;1
P533;5.63;2.02;1
P534;8.03;6.73;1
P535;0.71;9.63;0
P536;4.75;3.85;0
P537;3.58;9.31;0
P538;9.17;1.03;1
P539;9.01;8.76;1
P540;1.92;9.21;0
P541;9.29;0.90;1
P542;8.21;9.68;1
P543;5.09;0.05;1
P544;1.88;2.87;0
P545;6.28;2.62;1
P546;7.49;0.36;1
P547;7.22;3.51;1
P548;8.72;2.85;1
P549;5.53;6.75;1
P550;9.58;6.24;1
P551;6.38;4.33;1
P552;0.09;9.96;0
P553;3.64;9.25;0
P554;0.99;2.65;0
P555;8.01;2.91;1
P556;1.86;7.30;0
P557;3.81;0.07;0
P558;6.98;8.90;1
P559;0.12;8.86;0
P560;1.77;6.39;0
P561;1.48;9.25;0
P562;6.76;8.70;1
P563;2.76;5.48;0
P564;1.55;8.29;0
P565;2.23;1.13;0
P566;4.53;8.61;0
P567;5.46;4.61;1
P568;8.57;9.10;1
P569;3.87;9.56;0
P570;1.74;1.88;0
P571;2.47;3.60;0
P572;9.17;6.28;1
P573;3.67;6.15;0
P574;5.17;3.79;1
P575;5.02;6.94;1
P576;0.18;6.50;0
P577;6.19;6.94;1
P578;5.20;8.95;1
P579;2.41;6.75;0
P580;7.24;4.64;1
P581;7.88;1.77;1
P582;3.25;3.34;0
P583;6.38;1.82;1
P584;2.44;0.25;0
P585;1.38;4.18;0
P586;2.12;3.85;0
P587;7.78;1.30;1
P588;0.13;1.45;0
P589;7.45;5.31;1
P590;5.24;2.47;1
P591;2.25;5.42;0
P592;8.97;8.44;1
P593;2.35;4.17;0
P594;7.39;4.77;1
P595;0.92;4.63;0
P596;9.41;8.81;1
P597;6.40;2.66;1
P598;2.15;2.78;0
P599;4.48;4.58;0
P600;3.03;5.87;0
P601;8.76;5.15;1
P602;9.72;6.54;1
P603;6.45;9.85;1
P604;7.99;3.90;1
P605;5.16;3.22;1
P606;6.37;7.40;1
P607;8.64;5.34;1
P608;5.84;1.00;1
P609;9.51;3.24;1
P610;5.76;0.43;1
P611;7.87;5.18;1
P612;9.24;4.27;1
P613;7.84;1.39;1
P614;7.05;2.33;1
P615;5.97;0.08;1
P616;8.19;4.73;1
P617;5.23;7.91;1
P618;1.27;1.67;0
P619;7.76;9.26;1
P620;5.57;2.91;1
P621;2.48;1.94;0
P622;0.32;1.12;0
P623;7.27;6.16;1
P624;2.12;6.78;0
P625;9.40;7.88;1
P626;7.22;7.27;1
P627;3.06;6.46;0
P628;1.54;0.90;0
P629;7.84;8.59;1
P630;3.23;3.82;0
P631;8.67;1.42;1
P632;8.55;3.90;1
P633;9.33;9.81;1
P634;5.57;7.09;1
P635;9.07;1.14;1
P636;0.00;1.55;0
P637;3.08;0.32;0
P638;2.67;0.35;0
P639;6.48;4.79;1
P640;7.13;5.87;1
P641;2.67;4.35;0
P642;3.14;5.73;0
P643;0.80;4.68;0
P644;6.63;8.65;1
P645;3.28;9.86;0
P646;2.46;1.95;0
P647;1.28;1.01;0
P648;5.85;0.60;1
P649;0.83;1.42;0
P650;7.69;9.90;1
P651;2.56;7.69;0
P652;1.44;5.64;0
P653;8.01;4.12;1
P654;5.99;4.48;1
P655;8.90;3.12;1
P656;0.36;1.58;0
P657;7.47;3.50;1
P658;7.31;8.28;1
P659;8.18;3.94;1
P660;6.92;1.45;1
P661;3.80;9.39;0
P662;3.40;5.08;0
P663;0.40;9.25;0
P664;5.68;1.23;1
P665;0.68;3.37;0
P666;1.12;3.24;0
P667;1.06;2.57;0
P668;8.88;9.07;1
P669;6.68;4.88;1
P670;3.55;5.59;0
P671;8.00;3.91;1
P672;7.16;5.47;1
P673;7.40;4.47;1
P674;3.75;5.58;0
P675;8.41;0.67;1
P676;7.04;2.21;1
P677;0.06;0.44;0
P678;7.28;0.47;1
P679;9.69;2.96;1
P680;1.69;0.37;0
P681;6.34;2.81;1
P682;3.61;7.40;0
P683;5.38;2.49;1
P684;6.47;2.06;1
P685;7.37;0.02;1
P686;7.65;5.37;1
P687;3.93;4.81;0
P688;0.84;1.34;0
P689;9.28;4.59;1
P690;6.92;7.69;1
P691;5.27;3.95;1
P692;9.89;5.33;1
P693;4.39;7.18;0
P694;5.80;4.08;1
P695;0.14;7.49;0
P696;4.45;6.48;0
P697;0.30;8.06;0
P698;3.87;5.68;0
P699;0.55;0.34;0
P700;7.75;7.92;1
P701;0.37;5.40;0
P702;3.29;4.30;0
P703;0.21;4.14;0
P704;5.63;9.49;1
P705;8.73;2.55;1
P706;7.18;4.00;1
P707;6.50;7.07;1
P708;9.33;0.89;1
P709;4.25;5.13;0
P710;4.98;4.39;1
P711;2.62;9.43;0
P712;0.87;2.92;0
P713;7.49;4.74;1
P714;8.61;8.05;1
P715;5.08;6.35;1
P716;5.97;5.45;1
P717;1.75;9.26;0
P718;9.74;1.96;1
P719;3.40;5.38;0
P720;1.44;2.13;0
P721;7.93;8.62;1
P722;6.13;4.43;1
P723;5.69;5.46;1
P724;5.32;9.94;1
P725;0.59;0.30;0
P726;4.32;3.21;0
P727;9.73;5.19;1
P728;6.13;7.22;1
P729;9.93;4.74;1
P730;5.27;5.01;1
P731;1.09;1.24;0
P732;0.46;2.84;0
P733;0.50;0.21;0
P734;4.79;3.90;0
P735;5.59;6.24;1
P736;6.03;3.51;1
P737;4.85;2.16;0
P738;7.94;0.54;1
P739;7.63;3.26;1
P740;0.48;8.22;0
P741;3.56;4.80;0
P742;1.43;3.29;0
P743;9.99;7.56;1
P744;0.52;9.92;0
P745;2.30;5.79;0
P746;4.94;3.39;1
P747;7.03;5.40;1
P748;6.23;7.53;1
P749;5.61;1.02;1
P750;1.43;1.20;0
P751;7.26;7.47;1
P752;4.71;2.12;0
P753;9.63;2.65;1
P754;2.66;7.26;0
P755;5.91;3.14;1
P756;5.48;9.47;1
P757;7.94;6.91;1
P758;2.76;7.93;0
P759;4.47;3.28;0
P760;7.85;6.77;1
P761;9.07;2.79;1
P762;0.16;6.09;0
P763;8.19;6.39;1
P764;3.62;3.80;0
P765;7.41;5.05;1
P766;5.00;4.67;1
P767;2.52;9.71;0
P768;6.79;2.15;1
P769;2.35;9.45;0
P770;9.41;8.26;1
P771;2.58;4.88;0
P772;7.73;0.52;1
P773;1.79;0.49;0
P774;8.45;6.26;1
P775;3.77;6.30;0
P776;3.02;2.83;0
P777;9.10;3.18;1
P778;8.92;7.29;1
P779;9.57;2.54;1
P780;1.09;6.98;0
P781;7.60;6.09;1
P782;1.65;0.12;0
P783;5.80;8.44;1
P784;2.27;8.15;0
P785;7.89;1.68;1
P786;6.41;0.47;1
P787;6.56;4.14;1
P788;0.99;8.35;0
P789;4.63;9.44;0
P790;4.61;8.39;0
P791;5.74;7.63;1
P792;1.22;4.84;0
P793;0.81;0.15;0
P794;2.13;0.37;0
P795;2.69;3.22;0
P796;7.35;0.29;1
P797;9.31;9.00;1
P798;0.41;5.11;0
P799;7.44;2.68;1
P800;3.27;5.33;0
P801;4.35;9.68;0
P802;5.79;0.91;1
P803;3.82;6.78;0
P804;9.26;8.44;1
P805;6.22;3.87;1
P806;6.84;1.96;1
P807;1.50;8.06;0
P808;6.80;2.31;1
P809;8.21;8.93;1
P810;2.68;0.90;0
P811;2.15;0.03;0
P812;1.19;1.46;0
P813;9.03;1.60;1
P814;6.58;6.47;1
P815;4.28;9.84;0
P816;1.80;8.63;0
P817;9.52;7.60;1
P818;9.54;3.34;1
P819;4.38;8.81;0
P820;1.78;0.60;0
P821;2.68;8.62;0
P822;2.57;4.17;0
P823;6.68;9.37;1
P824;6.48;4.90;1
P825;8.30;9.16;1
P826;5.80;0.44;1
P827;9.19;6.99;1
P828;1.91;8.23;0
P829;8.59;8.48;1
P830;4.70;2.87;0
P831;8.32;6.50;1
P832;1.50;7.84;0
P833;4.10;1.04;0
P834;1.18;8.48;0
P835;9.85;2.96;1
P836;9.08;2.53;1
P837;1.59;1.65;0
P838;6.70;8.27;1
P839;1.01;3.18;0
P840;3.17;9.31;0
P841;2.34;8.97;0
P842;9.75;1.54;1
P843;5.96;1.66;1
P844;9.77;4.55;1
P845;0.14;4.47;0
P846;7.43;8.46;1
P847;0.98;8.93;0
P848;6.30;5.08;1
P849;9.97;7.49;1
P850;3.56;9.82;0
P851;0.45;2.64;0
P852;2.35;2.04;0
P853;4.28;9.05;0
P854;0.31;5.30;0
P855;2.23;3.47;0
P856;4.61;4.57;0
P857;2.44;4.36;0
P858;6.11;8.40;1
P859;6.02;5.88;1
P860;2.95;6.16;0
P861;0.35;0.38;0
P862;4.62;1.33;0
P863;9.31;0.92;1
P864;6.40;9.28;1
P865;8.41;9.96;1
P866;9.10;8.86;1
P867;2.59;1.44;0
P868;0.90;6.88;0
P869;0.49;1.20;0
P870;2.17;2.71;0
P871;4.68;6.78;0
P872;7.29;7.11;1
P873;1.14;3.40;0
P874;5.51;7.16;1
P875;9.28;8.47;1
P876;3.32;9.63;0
P877;8.85;7.94;1
P878;0.95;8.15;0
P879;8.87;7.35;1
P880;7.43;7.28;1
P881;7.31;6.53;1
P882;6.14;9.90;1
P883;7.97;7.03;1
P884;6.78;8.46;1
P885;8.24;8.95;1
P886;1.17;2.91;0
P887;5.73;8.46;1
P888;0.03;6.87;0
P889;1.85;5.54;0
P890;4.04;1.13;0
P891;4.01;7.36;0
P892;0.76;2.85;0
P893;5.30;1.71;1
P894;1.00;4.17;0
P895;9.06;8.43;1
P896;1.44;6.37;0
P897;4.96;7.58;1
P898;6.27;2.93;1
P899;4.62;3.05;0
P900;1.38;2.85;0
P901;2.00;2.55;0
P902;5.77;7.73;1
P903;1.01;5.79;0
P904;4.60;2.86;0
P905;1.33;8.64;0
P906;3.99;5.34;0
P907;6.00;4.75;1
P908;8.19;1.30;1
P909;6.46;9.19;1
P910;5.46;5.52;1
P911;7.62;6.91;1
P912;1.89;2.58;0
P913;4.49;8.16;0
P914;5.50;9.11;1
P915;1.21;6.89;0
P916;1.96;3.21;0
P917;9.44;7.73;1
P918;0.94;0.44;0
P919;3.52;5.54;0
P920;3.30;4.85;0
P921;4.18;7.29;0
P922;0.19;0.18;0
P923;2.04;8.37;0
P924;1.47;8.50;0
P925;7.56;6.93;1
P926;4.01;5.18;0
P927;3.84;5.90;0
P928;7.76;8.33;1
P929;4.06;3.27;0
P930;7.44;5.27;1
P931;0.15;9.40;0
P932;8.48;9.59;1
P933;7.13;9.41;1
P934;0.03;0.64;0
P935;4.95;3.34;1
P936;5.49;9.13;1
P937;0.63;5.68;0
P938;9.31;2.68;1
P939;4.05;0.78;0
P940;1.17;1.61;0
P941;7.71;5.19;1
P942;6.80;1.55;1
P943;1.09;4.56;0
P944;9.88;5.15;1
P945;7.83;7.32;1
P946;0.41;7.98;0
P947;6.72;8.89;1
P948;7.58;3.85;1
P949;8.30;7.61;1
P950;4.49;3.26;0
P951;0.95;9.98;0
P952;2.39;1.58;0
P953;5.66;1.70;1
P954;4.26;9.71;0
P955;2.48;5.43;0
P956;1.32;0.19;0
P957;0.62;8.12;0
P958;1.74;1.70;0
P959;2.68;1.63;0
P960;6.85;0.51;1
P961;8.95;7.26;1
P962;8.50;5.67;1
P963;6.15;6.07;1
P964;9.51;4.45;1
P965;3.68;4.00;0
P966;7.71;4.63;1
P967;3.98;0.09;0
P968;6.22;9.64;1
P969;1.79;0.48;0
P970;9.35;4.27;1
P971;5.91;0.68;1
P972;4.46;6.53;0
P973;8.80;6.20;1
P974;8.23;1.48;1
P975;7.83;5.08;1
P976;2.00;6.77;0
P977;2.34;0.49;0
P978;2.44;8.49;0
P979;6.57;1.95;1
P980;2.94;0.25;0
P981;5.95;0.65;1
P982;4.89;9.94;1
P983;0.74;1.10;0
P984;9.58;2.53;1
P985;1.58;8.93;0
P986;6.80;7.49;1
P987;9.61;1.26;1
P988;4.01;8.41;0
P989;7.46;2.24;1
P990;9.89;5.29;1
P991;7.32;1.89;1
P992;2.06;9.66;0
P993;2.38;4.50;0
P994;8.15;8.95;1
P995;6.45;1.09;1
P996;9.20;2.41;1
P997;1.73;4.09;0
P998;2.35;2.47;0
P999;5.20;1.93;1
P1000;5.01;6.78;1
Guardando resultados finales.......
Centroide 1: (2.39, 4.91)
Centroide 2: (7.36, 5.05)
